"","CPT000814","CPT001846","X01BR001","X01BR008","X01BR009","X01BR010","X01BR015","X01BR017","X01BR018","X01BR020","X01BR023","X01BR025","X01BR026","X01BR027","X01BR030","X01BR031","X01BR032","X01BR033","X01BR040","X01BR042","X01BR043","X03BR002","X03BR004","X03BR005","X03BR006","X03BR010","X03BR011","X03BR013","X05BR001","X05BR003","X05BR004","X05BR005","X05BR009","X05BR016","X05BR026","X05BR029","X05BR038","X05BR042","X05BR043","X05BR044","X05BR045","X06BR003","X06BR005","X06BR006","X06BR014","X09BR001","X09BR004","X09BR005","X09BR007","X11BR003","X11BR004","X11BR006","X11BR009","X11BR010","X11BR011","X11BR012","X11BR013","X11BR014","X11BR015","X11BR016","X11BR017","X11BR018","X11BR019","X11BR020","X11BR022","X11BR023","X11BR024","X11BR025","X11BR027","X11BR028","X11BR030","X11BR031","X11BR032","X11BR036","X11BR038","X11BR040","X11BR042","X11BR043","X11BR044","X11BR047","X11BR049","X11BR050","X11BR051","X11BR053","X11BR054","X11BR055","X11BR056","X11BR058","X11BR059","X11BR060","X11BR072","X11BR073","X11BR074","X11BR075","X11BR080","X13BR009","X14BR005","X14BR008","X14BR014","X15BR003","X16BR012","X18BR002","X18BR003","X18BR004","X18BR006","X18BR007","X18BR009","X18BR010","X18BR016","X18BR017","X18BR019","X20BR001","X20BR002","X20BR005","X20BR006","X20BR007","X20BR008","X21BR001","X21BR002","X21BR010","X22BR005","X22BR006"
"ARAF","-0.32028506325852","-1.22501775744053","-0.113086290081841","1.54588517093206","0.266334898593536","-0.451491232432063","0.0596412411834242","0.514794060899576","0.562578725809423","2.17815033775328","1.05422512550509","-0.668608815591766","0.538318136464374","1.16010425515702","-0.260257173893563","1.19622154501463","0.869698443324961","-0.950408626283997","-1.18460951339334","0.216072939185207","-0.133093777955519","-1.3214338237047","-0.993835952394258","-1.2962450676454","2.21355280730046","-0.177225435792902","0.741382503968558","-1.27331175781102","-0.0328130085721082","-1.21205185143695","0.362282211744756","-1.87969161690919","-1.35474112546826","-0.248785575786761","-1.36998811209771","2.20861500798183","-1.33103597382235","0.856676612193607","0.656837246142213","-1.13306105712637","0.291543527896769","0.0634805443503745","0.187897075781954","-1.19581153450025","0.202457944221164","0.78975455145581","2.00619973754186","0.0684406577924253","-0.476478418876835","1.52221950143451","-0.325517153688479","-0.83165005298505","0.901359795210138","-0.259906312452002","-0.0225829296388099","1.05058541056899","0.944531105345582","-1.10065031458935","1.37805576785807","1.24096583530992","0.492800000744969","-1.57949319639578","1.00945082750258","-0.814607354933332","-0.293574420745534","1.50430611814684","1.01719035139123","0.420638016101664","0.14877881235684","-0.0669338265540902","0.747652824059497","-0.604153625618719","-1.16846063592322","1.35680494960899","-0.839867093739304","-0.00585567351520529","-0.926514680418195","1.44441895151451","1.45624066790706","-1.01899611606012","-0.251250599168483","-2.07644210011962","-0.885277823501034","0.537876337676199","-0.071714643776138","-1.52052309199257","-0.439014729776989","-0.545134438942332","0.29277025797042","0.436889024027024","-1.37101400648235","0.998856472211324","-0.399026069578917","-0.464452072222641","0.905245236992023","1.31431898994305","1.22677429583926","-1.85409334871133","-1.39536871485053","-1.80258410025526","0.654310833331942","-0.640852863690743","0.00891723235543493","-0.124878899879841","-0.0399139941329745","-0.234580904719055","-1.14963983634107","-0.860186864275554","-1.5895970167815","-1.27561142922058","-0.67369405192159","-0.609487483502457","-0.014078391703091","0.8831529848728","1.17000169045845","0.957196544522433","-1.61493294939706","1.17588002415183","-0.540584007154629","-0.915528596115729","0.936390675708288","-0.473711955783467"
"ERN1","-0.966508508705579","0.258492855268574","-0.397378080193594","-1.83646138756289","-1.17108297838291","0.209605336380917","-0.103298308248789","-0.735780828957323","-1.13076095271713","-2.07530862565708","-0.71465179401329","-0.379321568825321","-0.6008280157403","-1.67509147871798","0.247265838023896","-0.758699505599014","-0.309376233506919","0.304840739408819","-0.248702016759236","-1.16138746121368","-0.84708350911813","1.14279640423241","0.952382628329721","1.16051001133898","-2.00634704533552","0.509301646859867","0.261112046254262","1.13575715790425","0.14247370192681","0.777492728310172","0.170834152526833","2.13769107600819","1.19855203438138","0.10485222182911","1.9686564863211","-1.77236408735164","1.19567116552836","-1.98490896347597","-1.19795194254311","0.496700737893898","-1.20975470034311","-0.309579189945845","0.470708099529737","0.858489981389431","0.840083129890898","-0.415803665952077","-1.785722288557","0.507799317860764","0.950091553304424","-1.05655325266203","0.313251960454997","0.459326685861979","-0.507529919424434","0.768703491076812","0.443934547353845","-0.324445407995867","-0.48071476837462","1.79625777847718","-1.04539350920067","-1.4625250103151","-0.556331879024146","1.6279481181558","-0.17357459372548","0.430377200245573","0.427958499110275","-1.72470494932575","-1.14179974600176","-0.329494565686389","0.160751239872613","-0.403497461708285","-0.129464539022935","0.894805099738973","1.82829646973519","-1.05381579271347","0.948608303061305","0.511099762105766","0.552254404378691","-1.14967876304112","-1.18111913194504","1.59443583357105","0.149231830024398","2.14633377840114","0.715581336302798","-0.346261619679066","0.00848862861564339","1.6355923010728","1.31572003286076","0.87739999809613","0.347572537008698","-0.475773991278775","1.34310376041889","-0.925806510207764","1.11426515144437","0.349725792125448","-1.07561017675264","-0.292325405742091","-1.1120183135431","1.46025475799324","1.35161997882774","1.31361865385899","-0.0500230843804724","0.442945803879388","0.407238536115325","0.0516314677670403","0.0190478365482385","0.415729929665302","0.982013342229882","0.897162684279612","1.48493652089225","1.65204968432817","0.747375584115271","0.305791618291869","-0.415238760604759","-0.930893608808626","-1.48010005373558","-1.10115076901491","0.606196787559065","-0.500490397484674","0.978577193779096","1.36139569277207","-0.177500505919166","1.35252659210445"
"MAPK14","0.872433455928965","1.74389595261237","1.42503763474334","-1.26413053010357","-0.569758887233861","-0.45459164826619","0.903706654267466","0.602478190566956","0.218431109879443","-1.18752613099491","-1.43701555919555","1.3182294435441","-0.0879253678397512","0.353356070194101","-0.846419657255975","-0.226847914922571","-1.01741091452815","0.608688106949595","1.44975412256403","1.16191304033416","1.52246464604491","0.617786903493209","0.713061453874362","1.48395715993643","-1.66201939281383","-0.114066684612817","-0.988543469278658","0.954402337336991","0.325574445596976","2.17390852863775","-1.18202828813244","1.22478930326758","1.78476772249405","-0.334107681854997","0.774039933204818","-1.09217746939398","0.934929577626909","0.0651055043295747","0.812146062292913","0.978060352262403","0.113356410334984","-0.0508984663996579","-0.923692363510068","1.6044104014384","0.41569699083186","-1.91284317484626","-1.38976933535619","-0.872266411000232","0.800157343267731","-2.31401434695334","-0.892996364605839","0.601496528987536","-1.50904458283035","-1.17114034172163","-1.13508060349134","-1.29027466152917","-1.06411645667856","0.7217089824448","-1.56373855142945","-0.154711976731646","0.343168187042908","1.5539335685222","-1.1304349600175","1.26261215697208","1.11002216348813","-1.18965037522909","0.189161870108947","-0.196496670992617","-0.754370729692729","1.17601611350044","-1.52205654053481","0.486524914023136","0.807311490939795","-1.05477577160722","0.903836588965618","-1.22428696735777","1.51873544606339","-1.1950680968503","-0.46220350543989","0.26521101308856","-0.775399892387352","1.20022827344748","0.160754853308496","-1.41354657250038","-0.167648827224759","1.0980330451285","-0.71002338172606","1.11618395306835","0.183890008850331","-0.692442493364337","1.47992601419232","-0.815119959576597","-0.229811873031899","-0.246784578186401","-0.746185849384572","-2.42449830691953","-0.905282337251111","1.50410061959267","2.23097305946341","2.1013426367776","-1.58025538858876","1.15610014758418","-0.422724718750068","-0.770594447629121","0.0298601617748295","0.993937189248469","1.59411420009574","0.477972612550913","0.986771901573127","0.555048532248201","-0.290647109298929","-0.474014358815803","0.788236112887763","-0.213176565981599","-0.409471536544208","-0.534884425140433","1.89820148323224","-1.55258374063662","-0.265882772455277","-0.256932059651813","-0.561607224878119","-0.79239807493174"
"MAPK1","1.55446428856141","1.05413641519093","1.65716669731252","0.234861550377037","0.661037394541691","-0.914213886529773","0.250886435737155","1.42386207940487","1.27862924809209","0.791510922487535","-1.57514522529566","0.14380758899777","0.430816284960869","1.47468631214836","-1.23457222926662","1.77237294628509","0.0590596175624654","-0.868794586512765","0.941666109238178","1.77793834379439","1.19563147781814","-1.46992442207281","-0.939909213636113","0.278251292586356","1.39159643497785","-1.27726665463422","-0.658720159704441","-0.994330959610462","1.08286547560821","0.150997509809335","-1.99743121490842","-0.627633830540943","-0.634394108081609","-0.951005468487448","-1.05413716428235","1.36645951200197","-0.822548500818225","1.59950968128387","1.96322977620357","0.10754915511605","1.1636870245674","1.00954198198281","-0.812242473297352","-0.309934032297253","-0.473228540657637","-1.45410771641412","1.05981887802139","0.140836808700128","-0.956156757820724","0.244433230994289","0.0304869808219602","-0.421315870589186","-0.51628775023854","0.154078210048346","-0.648127287485934","-1.28456015929262","-0.604675561513955","-0.430619341851983","-0.569315752801819","2.20423713626206","1.09486569189102","-0.985055785522836","-0.875911483852725","0.239158667574185","0.0573887754415922","0.553898936697467","1.65390106292551","-0.332149678597089","-0.600346416017763","1.02560767421139","-0.495848021901794","-0.598241309921643","-0.373275390393919","0.890594974237996","0.700630049113341","-1.53646295534416","1.29872517446355","0.589643287708959","0.00157971417406692","-0.980718046252116","-0.834750017811492","-0.517200445144777","-0.763608648048078","-0.503525249728188","-1.0219871007703","-0.475510701973772","-0.97854974242419","0.802841710906201","0.503158093992594","1.03424053501814","-0.472600026586155","-0.474035606937888","-1.19603756841803","-1.00285870402422","1.45859731991073","-0.482068483031298","-0.682875835355611","-0.79273864809281","-0.457463327845687","0.140824423500284","-0.697604688256505","0.759179627514503","-1.0428941562524","-1.11276603781444","-0.0379550196775307","-0.0115434786355678","0.298040687203314","-0.885451444253915","-0.910987502907676","-0.638964857404628","-1.21544354392433","-1.29898190256849","1.33994117860056","1.69662946752161","1.37201258246323","1.34736535458629","0.111680293778214","-1.24760452302688","-1.47190484671071","-1.97956091436438","-0.399634351291457","-1.17259366442277"
"PLK1","-1.8949408397328","-1.33141273421675","-1.23367223313085","-1.09684218705937","-1.6043794138446","-0.151784745142248","-0.812320717362953","-1.41200136131119","-1.69089760261259","-1.10125465439568","0.234740023161238","-0.493693584794583","-1.59376837654607","-1.33120901439276","-0.111886802896557","-0.539257993446866","0.757934697266616","-0.408298338514317","-1.63796445142526","-1.65658119459052","-1.46158106864037","0.493722739047218","0.645842404302608","-0.852233264988356","-1.15235210541533","1.12948721331689","0.752594584963853","0.394530978280227","-0.392504687217056","-0.0717296221064284","0.559738416344664","-0.109622591711841","-0.185432478073508","0.738792428416642","0.81701253786472","-0.849671413470297","0.962976706628547","-1.70393575726562","-1.125882353187","-0.218261531706494","-2.20581478613511","0.0269831382450029","0.755598006136124","-0.363745895468718","1.25653970829665","0.64957901003989","0.434708501363749","0.661147743762651","0.780392517759388","-0.336506499938613","0.880509369405668","0.0915018148303134","0.36798006903369","0.611571174265948","0.902243603675621","0.893434761124967","0.347109688138083","0.739046198853471","0.680287760568869","-0.875583116083003","0.366542669760407","0.117982282158321","0.63867688005015","-0.245870062155885","0.356722530470777","-0.749813035335519","-1.04014622306467","0.667465166637962","1.40192675573521","-0.190857424349567","0.463012920444548","0.62079160503611","0.919944898150671","-0.0398121666736192","0.217177076638093","0.803852105617092","-0.107989520109652","0.23251107743354","-0.290726702678798","1.12617852670269","1.01752083877294","-0.223782100834329","0.170837717953184","0.930635634153134","1.10993171943212","0.0711873604627086","0.687881516462188","0.402972796971541","1.06483908216415","0.407376395990074","0.0204983398897105","0.191681606773846","0.837594675038949","1.16926583915359","-0.587290688101224","0.915260148650048","0.602299925610352","-0.00522369008367581","-0.290670916062241","-0.342202425942241","0.620097528877011","-0.650393563408651","0.687246697833148","1.18365176714039","-0.145387259683471","-0.518122168548505","-0.500650287564043","-0.136053757407192","0.466546135238819","1.03692052639261","1.10341945704739","0.959353073546473","-1.27923474592366","-0.515480552411425","-0.686558142735146","-0.564438177658269","-0.309606433070354","0.632842491669073","0.773785545368374","1.13004394239407","0.179629574532897","1.59475877426425"
"CIT","-0.808682394696597","-0.179625235368397","-0.684185261999229","-1.78276302153379","-1.10806249997533","-0.150755383338452","-0.265668393784664","-1.20392458089674","-1.33761800706879","-1.90962209139587","-0.618853321323757","0.226442343211514","-0.767096654960457","-1.82192297839469","-0.202149458031269","-1.21958300483522","-0.166955209977646","0.429558012000131","-0.407667126894939","-1.40971734699931","-1.21464718596651","1.41062328679704","0.95841727207756","0.392127398566716","-1.55346451184084","0.942486062111798","0.419119951260538","1.01553455680173","-0.453516615480951","1.07796950827735","0.169845317992365","1.35454297049746","1.16414755047288","0.639173623731733","1.68668968808744","-1.37582845334039","0.963673850502875","-1.96351461671886","-0.674059706524613","0.203308418746349","-1.28835032465167","-0.0519866606811406","0.704544126839088","0.307948767673957","0.748532107501213","0.133426680648825","-0.79620978944422","0.659272762032575","0.666967077702768","-0.301922258736936","0.612183347515969","0.727322880960649","0.109031710064268","1.1598795053242","1.09368412315271","-0.364259446803704","-0.419971619930622","1.53858717915777","-0.798482094199077","-1.63413694425452","-1.1567608338821","1.04136159312206","-0.397153556348209","0.48411932762132","0.0582516475042648","-1.67817272723768","-1.65038695461282","-0.190832653537658","0.412924075449095","-0.856251624789294","0.0900531907370438","0.844906983546755","1.87328667970859","-0.989568810814783","0.858708275472945","1.25522811745099","-0.100669815564967","-1.0784577831646","-1.30474887093577","1.52564085499247","0.521895350751086","1.21764912807664","0.968970185966313","0.139405296679753","0.0692970135855413","1.1802495806933","1.58198823177339","0.546505553646297","0.662482152810536","-0.0816276938545224","1.19677989545966","-1.47207899146072","0.931680837455093","0.614428680601345","-0.975671502453591","0.251032356013393","-0.951983080546104","1.27095256502192","0.795578579846443","1.10989495837444","0.542026781448686","0.216762588060339","0.0591314247398993","0.213855268833379","0.0411438789795598","-0.414551742438304","0.428549347694787","0.91760489780166","1.56221984810298","1.82974422537734","0.777827507367143","0.566678752118747","-0.92867982092129","-0.753382225845586","-1.26302863555357","-1.21255869111053","0.219039131710104","-0.136652780435515","0.806717886075026","1.08642198344503","0.188825556558023","1.31107385679777"
"CDK2","-0.686726222069263","0.0461866822746824","-0.0851874958002606","-1.50558697111661","-0.746879240670775","0.497259161948684","-0.177344251564795","-1.07727503227548","-1.36677268963585","-1.84965916017816","-0.271224512337426","0.0499791808147379","-0.516488056184241","-1.64728179594601","0.359233021422893","-0.981439098764622","-0.117845864460478","0.198040899515758","-0.340083371566017","-1.20795160457546","-0.980335318956106","1.62204470576696","1.02700906039393","0.671190336432277","-1.56407915637339","1.2500057180449","0.288579111889453","1.13770173920615","-0.566454507186718","0.545777093361952","0.678724572529039","1.84762201664357","1.36953215163477","0.0363566435613954","1.64642840399149","-1.58491701540015","0.67928088864447","-1.73598887011273","-1.24794082425875","0.267485964413028","-1.13245844925499","-0.305936891470911","0.395919314897708","0.739847954218961","0.616962422183307","-0.0633109549077047","-1.61127845716779","0.163103272098807","0.811690404771834","-0.560391837265163","0.617976657809024","0.603898268774918","-0.0998378536927398","0.417593886156758","0.654653791444897","0.252712906657175","-0.368972088960955","1.66808469158897","-0.816904992532466","-1.64373033530864","-0.673980630787672","1.5214278761054","0.211961311351411","0.801907778690746","0.0924516831122946","-1.65252352550185","-1.40226192435576","-0.442120640486588","0.568990400239185","-0.842394293250752","0.0546564879427891","0.385094944150572","1.5530125795319","-1.53685568507903","0.977472044839706","1.34579383774564","0.216738401926288","-1.81568607318348","-1.49500120910873","1.43893566978611","0.00838006368443871","1.85759024848237","0.328424640932975","-0.339449709515157","-0.074556002885676","1.07650283858692","1.64622750423962","0.603371739491794","0.54046455676957","-0.556880004829662","1.48707706493107","-1.26022541068883","1.37499311583283","0.142875946667385","-1.42506029202729","-0.12576506591397","-0.60807729933103","1.56283985700312","1.23176151923062","1.2697410452419","0.13397407135198","0.0999474163359253","0.538190264250852","-0.0545314075035321","-0.755443343805563","0.115077450848498","0.813006589191349","0.757742294719108","1.50229652009324","1.01531507694385","0.666534964099455","0.670134260188324","-0.508023451049974","-0.955608036430071","-1.16664929698602","-1.40698877326949","0.387006505180836","0.0696581433188254","1.13563395381835","1.79169451496344","-0.124768268666503","1.43509684237362"
"MAPK3","-1.54789284900953","-1.01190168072826","-1.48504448156697","-0.661121080237773","-1.23590026862843","0.258509501565845","-0.155362589495071","-1.13170385485258","-1.35287622525065","-0.591900848782152","1.46531436025807","-0.226780295104509","-0.796333837510228","-1.19454971271848","0.724265187069432","-1.24320566941969","0.0256074495917802","0.236740763353606","-1.15253516799183","-1.60871076637169","-1.21557929063713","1.35306956712642","0.789555555223555","-0.450393313827922","-1.23772858898703","1.33070996478643","0.988649630501922","1.03201098172217","-0.76226776165577","-0.419283566375594","1.43909322089924","0.197284384636892","0.455411620414758","0.845594919417251","1.08763189239833","-0.938947647560165","0.507159206857448","-1.45626438044139","-1.6555393240117","-0.19444962626609","-1.49234685775339","-0.480369971886676","1.01534574211407","0.288689144110666","1.01865558710624","1.42959907052146","-0.235837731809723","0.101974305581164","1.43663783306355","-0.299663632434768","-0.378349113964768","0.0903384171702905","0.915145229279212","-0.275690255859402","0.736967531308218","1.48729253652848","0.841890522693207","0.649710089335794","0.681545695791285","-2.1481522803272","-1.10375650508306","0.633767823885857","0.913944149099463","-0.195988896495813","-0.119146048716683","-0.621656189577932","-1.61865436101021","0.73459390135102","0.939174068177636","-0.489667160330506","0.521653206598297","0.835108730146476","0.46318356373524","-0.588422281450636","-0.433829791086484","1.27770832692383","-0.902188338595294","-0.530749150841184","0.555445112744595","0.929810595111457","0.236951730460254","0.0529551589403046","0.211561880331346","0.418843278376398","0.478668954218893","0.420636502515616","1.20912219332353","-0.252298174773925","-0.0969611064118061","-0.958749481186439","0.470304037251122","0.420801649576834","0.993684102468552","0.453475555444051","-1.23898973172015","0.626811478304802","0.801313821877162","0.312535192241321","0.565895097376646","-0.149400558774808","0.645518325051003","-0.394902848644546","1.00746222315462","0.468783468552584","0.46267706772415","0.136747732715832","-0.484692299354786","0.817072486647206","0.716827785306022","0.971782455879301","0.834991929206073","0.702574859345483","-1.20852143062641","-1.34502706550125","-1.14147811217913","-1.00045235683354","-0.437850715908893","1.08133190846767","1.13101659245339","1.64330713526729","0.481562985410602","1.37081879624375"
"CDK1","0.522139105743412","-0.00314411687657654","0.232134021733483","1.00868361444021","-0.0711823670588953","-1.24859918029711","0.164785970347673","1.10363188728041","0.760578250425792","1.85851102063445","-0.219344953607644","0.146451372299189","-0.377017738142103","1.82221664855037","-1.07890637433655","1.3590292499341","-0.00335539338622585","-0.980544932915896","0.0982499915838705","1.36384872120719","1.01923557273707","-1.51525732375586","-0.90464185179002","-0.48537678577763","1.75235891786788","-1.03987174649425","0.0325469173144303","-0.808851412810327","1.02974221024314","-0.2454707760249","-1.21180423856344","-1.55797570062379","-1.08450275229218","-0.455251920835781","-1.33034227272026","1.92795592414061","-0.727781421935334","1.54053311893291","1.79785938131273","-0.114210181423002","1.01337925570385","0.708809755092554","-0.334785153706823","-0.716737939750142","-0.135091629146904","-0.521529424493475","2.02082886874769","0.189534094751321","-0.508435446629524","0.533640431730196","-0.872075012601674","-0.600200451515721","0.132870314302549","-0.788246148808751","-0.510886161549631","-0.530873919712043","0.181945148682464","-1.13671933213683","0.208271011009858","1.81087535753037","0.684702683794394","-1.66380981966307","-0.50949460212365","-0.404658568661368","0.227416897878366","1.47853473433433","1.75287010629957","0.358051785823755","-0.812785604396415","0.849080161405453","-0.383882920993387","-0.270171582980956","-1.06951297543444","1.78904214087899","-0.550015256918201","-1.72502657910626","0.11771524305857","1.72369955841755","1.51850506506215","-1.21630717399821","-0.496466382581133","-1.92619525635719","-0.560275313452776","0.043102054268064","-0.229382206121786","-0.86973868992268","-1.32761024448783","0.308084173423514","-0.0218595837142094","0.385758153718903","-1.00923658558657","1.01171430418884","-1.38403550531445","-0.330373944826054","1.98466689650052","0.163420081883038","0.496157510402723","-1.54261344002605","-1.1636263079369","-0.78685173893595","-0.504598951140745","0.226484140620456","-0.48446091290013","-0.460507952166558","0.935143776004634","-0.0709793428269992","-0.789121903490945","-0.461889696284973","-1.2022350077014","-1.02447665538119","-1.14392792620284","-1.37446108173785","0.36686807182764","1.3623354753635","1.87993927622381","1.79962225420576","-0.385841617498215","-0.659866334091123","-1.32796805583182","-2.09073978977525","0.829019231011803","-1.23771241096042"
"PRKCI","-0.970503404516312","-1.59546161973343","-1.22799297589515","1.09602919756612","-0.242225788657114","-0.211532251399397","-0.583096974939371","-0.31093231155869","-0.596834325524361","1.26354358177878","1.39388082129997","-1.12052132372741","0.375186985610196","-0.226717021460899","0.0774974502433743","1.12844009390584","1.49516862457152","-1.24725819487664","-1.38386891505489","-0.600222942953172","-1.08693721465643","-0.957822361106277","-0.616294337763527","-1.04756010203888","1.31095583283543","-0.209715296307623","1.14897135290348","-1.29750016416383","-0.148293009343265","-1.80327157165094","0.698971104026712","-1.18392825164675","-1.33247817527214","0.530426272456205","-0.425845825085877","1.07245054476313","-0.309786228287457","-0.460042762069885","-0.356772280215863","-0.983572210003458","-0.402989113889121","0.00689943715870398","0.795702537941984","-1.60930311806569","-0.0769060584980129","1.06983389796768","1.84973501704915","0.637060884612794","0.0692287971987102","1.79155633812856","-0.0408190335883033","-0.583319072475358","1.6332137272741","0.567899961903425","0.974585310159123","1.01033476751331","2.10296688162844","-0.109292560518215","1.34305372164839","0.945905161018323","-0.438332769159151","-1.20687754175851","1.36336261030921","-0.794265669850416","-0.316682489176846","1.08271790812082","0.337673240246177","0.239896318325671","1.15796373680444","-0.344803821982142","0.835314976819086","-0.323798499052971","-0.445316997696915","1.43396543240691","-0.721650798274957","0.374155583312433","-0.643317576391493","1.07457378943239","1.42559391307427","-0.158888044855823","-0.428604070368686","-1.16813117125165","0.099943762073456","1.02864241022643","-1.07740366471495","-1.10370206499581","0.862346742170778","0.0109552005136647","1.40426076674858","0.834137538388647","-1.37328993017738","0.48258346191836","-0.15348918996837","-0.894252276476283","1.34100570682315","1.77798573080475","0.898799181220479","-1.47734237103842","-0.93527616774352","-1.51615734222562","1.05127114837732","-1.02754085661077","0.378895077638899","-0.83810056873383","-0.527613051816999","-0.392869330110603","-1.14494819690463","-1.00427032834673","-1.19106430599548","-0.328858881604867","-0.897502146806101","-1.09410966384878","-0.883213524021045","1.31597925222041","0.792186065570417","0.991026536091655","-2.16008887886506","1.47938804036644","0.477950114676033","0.00263527424849756","1.14733616668523","0.83054571368272"
